Zone;Importations - Volailles;Production-Volailles;Disponibilité intérieure;Exportations - Volailles;PIB;Population;Sous-alimentation (%);Indice de stabilité;Disponibilités protéines moyennes d'origine animale
Koweït;137;56;189;4;29754.608017;4056.099;0;-0.05;48.7
Lesotho;15;2;17;0;1149.151207;2091.534;26;-0.19;18.7
Lettonie;43;33;41;20;15611.095187;1951.097;0;0.46;61
Liban;13;64;73;4;7792.598861;6819.373;6.7;-1.63;22
Libéria;48;15;50;0;587.594046;4702.226;36.6;-0.36;10.3
Lituanie;44;118;82;68;16784.459812;2845.414;0;0.78;76
Luxembourg;11;0;11;1;108431.931751;591.91;0;1.33;68
Macédoine du Nord;40;2;41;1;5430.875559;2081.996;2.7;-0.25;35
Madagascar;0;81;82;;515.293303;25570.512;42.3;-0.3;9
Malaisie;68;1724;1621;44;10259.211512;31104.646;3.4;0.12;43.7
Malawi;0;130;98;;359.232443;17670.196;16.5;-0.25;8.3
Maldives;12;;12;;9577.354296;496.402;;0.23;52.8
Malawi;0;130;98;;359.232443;18512.43;16.5;-0.25;8.3
Malte;9;4;14;0;29205.178362;437.933;0;1.25;65.7
Maroc;3;762;746;1;3082.599304;35581.255;3.7;-0.37;27
Maurice;2;48;49;0;10485.851087;1264.499;5.9;0.97;39.7
Mauritanie;24;5;22;;1578.114913;4282.57;8.6;-0.63;29.3
Mexique;972;3249;4219;9;9278.409912;124777.324;6.1;-0.72;44
Mongolie;10;0;9;;3669.409235;3113.786;6.3;0.79;55
Monténégro;8;4;10;0;7738.844301;627.563;0;-0.06;69
Mozambique;24;92;116;;461.414754;28649.018;31.4;-0.93;7.3
Myanmar;3;1662;1666;0;1274.989612;53382.523;8.1;-1.08;39.7
Namibie;29;11;28;12;5300.095958;2402.633;20;0.63;22.7
Népal;0;58;58;;926.088988;27632.681;4.2;-0.69;13.3
Nicaragua;6;143;138;0;2159.158239;6384.846;17.6;-0.05;19.3
Niger;3;19;21;0;517.075144;21602.382;;-1.27;11
Libéria;48;15;50;0;587.594046;190873.244;36.6;-0.36;10.3
Norvège;2;101;102;0;75220.814442;5296.326;0;1.17;67
Nouvelle-Zélande;1;223;168;23;43686.597089;4702.034;0;1.59;51.7
Oman;126;7;114;16;15130.543438;4665.928;8.4;0.75;42
Ouganda;0;65;66;0;658.668824;41166.588;;-0.57;11.3
Pakistan;2;1281;1282;4;1455.991742;207906.209;12.1;-2.41;25.7
Canada;182;1417;1433;163;44906.74892;4106.769;0;1.1;55
